sale_price,living_area,bedrooms,house_age,overall_quality,overall_condition,lot_area,full_bath,neighborhood,year_built,year_sold
215000,1656,3,50,6,5,31770,1,NAmes,1960,2010
105000,896,2,49,5,6,11622,1,NAmes,1961,2010
172000,1329,3,52,6,6,14267,1,NAmes,1958,2010
244000,2110,3,42,7,5,11160,2,NAmes,1968,2010
189900,1629,3,13,5,5,13830,2,Gilbert,1997,2010
195500,1604,3,12,6,6,9978,2,Gilbert,1998,2010
213500,1338,2,9,8,5,4920,2,StoneBr,2001,2010
191500,1280,2,18,8,5,5005,2,StoneBr,1992,2010
236500,1616,2,15,8,5,5389,2,StoneBr,1995,2010
189000,1804,3,11,7,5,7500,2,Gilbert,1999,2010
175900,1655,3,17,6,5,10000,2,Gilbert,1993,2010
185000,1187,3,18,6,7,7980,2,Gilbert,1992,2010
180400,1465,3,12,6,5,8402,2,Gilbert,1998,2010
171500,1341,2,20,7,5,10176,1,Gilbert,1990,2010
212000,1502,1,25,8,5,6820,1,StoneBr,1985,2010
538000,3279,4,7,8,5,53504,3,StoneBr,2003,2010
164000,1752,4,22,8,7,12134,2,Gilbert,1988,2010
394432,1856,1,0,9,2,11394,1,StoneBr,2010,2010
141000,864,2,59,4,5,19138,1,Gilbert,1951,2010
210000,2073,3,32,6,6,13175,2,NWAmes,1978,2010
190000,1844,3,33,6,6,11751,2,NWAmes,1977,2010
170000,1173,3,36,7,6,10625,2,NWAmes,1974,2010
216000,1674,3,10,7,5,7500,2,Somerst,2000,2010
149000,1004,2,40,6,7,11241,1,NAmes,1970,2010
149900,1078,3,39,5,6,12537,1,NAmes,1971,2010
142000,1056,3,42,5,6,8450,1,NAmes,1968,2010
126000,882,2,40,4,5,8400,1,NAmes,1970,2010
115000,864,3,39,4,5,10500,1,NAmes,1971,2010
184000,1337,2,11,7,5,5858,2,NAmes,1999,2010
96000,987,2,39,6,5,1680,1,BrDale,1971,2010
105500,1092,3,39,5,5,1680,1,BrDale,1971,2010
88000,1092,3,39,6,5,1680,1,BrDale,1971,2010
127500,1069,2,33,6,5,4043,2,NPkVill,1977,2010
149900,1456,3,35,6,6,2280,2,NPkVill,1975,2010
120000,836,2,35,7,6,2280,1,NPkVill,1975,2010
146000,1456,3,32,6,5,2280,2,NPkVill,1978,2010
376162,2334,3,1,9,5,12858,2,NridgHt,2009,2010
306000,1704,3,3,8,5,11478,2,NridgHt,2007,2010
395192,1940,3,1,9,5,10159,2,NridgHt,2009,2010
290941,1544,3,1,8,5,12883,2,NridgHt,2009,2010
220000,1541,3,5,7,5,12182,2,NridgHt,2005,2010
275000,1698,3,5,9,5,11520,2,NridgHt,2005,2010
259000,1822,3,5,8,5,14122,2,NridgHt,2005,2010
214000,1535,3,6,7,5,10171,2,NridgHt,2004,2010
611657,2364,2,1,9,5,12919,2,NridgHt,2009,2010
224000,1358,2,1,7,5,6371,2,NridgHt,2009,2010
500000,2696,3,7,9,5,14300,2,NridgHt,2003,2010
320000,2250,3,8,8,5,13650,2,NridgHt,2002,2010
319900,1752,2,5,9,5,7658,2,NridgHt,2005,2010
205000,1370,2,4,8,5,7132,2,NridgHt,2006,2010
175500,1626,2,7,7,5,2628,2,NridgHt,2003,2010
199500,1324,3,5,6,5,18494,2,Gilbert,2005,2010
160000,1145,2,4,7,5,3203,2,Blmngtn,2006,2010
192000,1269,2,6,8,5,3182,2,Blmngtn,2004,2010
184500,1374,3,6,7,5,13300,2,Gilbert,2004,2010
216500,1960,4,8,6,5,7851,2,Gilbert,2002,2010
185088,1733,3,6,7,5,8577,2,Gilbert,2004,2010
180000,1430,3,10,7,5,7750,2,Gilbert,2000,2010
222500,2035,3,9,7,5,9505,2,Gilbert,2001,2010
333168,2599,4,11,9,5,14774,2,NoRidge,1999,2010
355000,2475,4,12,8,5,17433,2,NoRidge,1998,2010
260400,1720,3,14,7,5,10593,2,NoRidge,1996,2010
325000,2622,3,16,8,5,12256,2,NoRidge,1994,2010
290000,2270,4,11,8,7,11764,2,NoRidge,1999,2010
221000,1839,4,12,7,5,16770,2,NoRidge,1998,2010
410000,3238,4,15,8,5,14720,2,NoRidge,1995,2010
221500,1595,2,5,8,5,8987,2,Somerst,2005,2010
204500,1218,2,1,7,5,9215,2,Somerst,2009,2010
215200,1547,3,1,7,5,8640,2,Somerst,2009,2010
262500,1566,3,2,8,5,9000,2,Somerst,2008,2010
254900,1947,3,6,7,5,12552,2,Somerst,2004,2010
271500,1468,2,5,6,5,10440,2,Somerst,2005,2010
233000,2084,4,6,7,5,10142,2,SawyerW,2004,2010
181000,1659,3,6,7,5,11920,2,SawyerW,2004,2010
205000,2110,3,16,7,5,8880,2,SawyerW,1994,2010
143000,923,2,30,6,5,8012,2,SawyerW,1980,2010
189000,1845,3,18,6,5,11218,2,SawyerW,1992,2010
99500,918,2,31,6,5,7892,2,SawyerW,1979,2010
125000,752,2,26,6,5,7175,1,SawyerW,1984,2010
194500,1744,3,17,7,7,9453,2,SawyerW,1993,2010
152000,1097,3,26,6,5,9672,2,SawyerW,1984,2010
171000,1564,3,30,6,6,8400,2,SawyerW,1980,2010
67500,1012,2,90,5,5,9800,1,SawyerW,1920,2010
112000,1902,4,32,6,5,8930,2,Sawyer,1978,2010
148000,1155,3,49,5,7,11782,1,Sawyer,1961,2010
138500,894,3,45,5,8,8450,1,Sawyer,1965,2010
122000,900,3,43,5,5,9819,1,Sawyer,1967,2010
133000,1040,3,47,5,5,7500,1,Sawyer,1963,2010
127000,1040,3,48,5,8,6897,1,Sawyer,1962,2010
169000,1494,3,36,6,6,15410,2,Sawyer,1974,2010
190000,1923,3,18,7,5,10186,2,NoRidge,1992,2010
362500,2349,4,17,8,5,13143,2,NoRidge,1993,2010
