final_score,prior_score,first_period_score,study_time,absences,internet_access,failures,age,sex,go_out,health
6,6,5,2,6,No,0,18,Female,4,3
6,5,5,2,4,Yes,0,17,Female,3,3
10,8,7,2,10,Yes,3,15,Female,2,3
15,14,15,3,2,Yes,0,15,Female,2,5
10,10,6,2,4,No,0,16,Female,2,5
15,15,15,2,10,Yes,0,16,Male,2,5
11,12,12,2,0,Yes,0,16,Male,4,3
6,5,6,2,6,No,0,17,Female,4,1
19,18,16,2,0,Yes,0,15,Male,2,1
15,15,14,2,0,Yes,0,15,Male,1,5
9,8,10,2,0,Yes,0,15,Female,3,2
12,12,10,3,4,Yes,0,15,Female,2,4
14,14,14,1,2,Yes,0,15,Male,3,5
11,10,10,2,2,Yes,0,15,Male,3,3
16,16,14,3,0,Yes,0,15,Male,2,3
14,14,14,1,4,Yes,0,16,Female,4,2
14,14,13,3,6,Yes,0,16,Female,3,2
10,10,8,2,4,No,0,16,Female,2,4
5,5,6,1,16,Yes,3,17,Male,5,5
10,10,8,1,4,Yes,0,16,Male,3,5
15,14,13,2,0,Yes,0,15,Male,1,1
15,15,12,1,0,Yes,0,15,Male,2,5
16,15,15,2,2,Yes,0,16,Male,1,5
12,13,13,2,0,Yes,0,16,Male,4,5
8,9,10,3,2,Yes,0,15,Female,2,5
8,9,6,1,14,Yes,2,16,Female,2,5
11,12,12,1,2,Yes,0,15,Male,2,5
15,16,15,1,4,Yes,0,15,Male,4,1
11,11,11,2,4,Yes,0,16,Male,3,5
11,12,10,2,16,Yes,0,16,Male,5,5
12,11,9,2,0,Yes,0,15,Male,2,5
17,16,17,2,0,Yes,0,15,Male,1,5
16,16,17,2,0,Yes,0,15,Male,2,5
12,10,8,2,0,Yes,0,15,Male,2,2
15,14,12,1,0,Yes,0,16,Male,3,5
6,7,8,1,0,No,0,15,Female,1,5
18,16,15,3,2,Yes,0,15,Male,3,4
15,16,15,3,7,Yes,0,16,Male,3,5
11,12,12,3,2,Yes,0,15,Female,2,5
13,13,14,1,8,No,0,15,Female,1,2
11,10,7,2,25,Yes,1,16,Female,3,3
12,12,12,1,8,Yes,0,15,Male,3,5
