Number,Name,Class,Pos,Ht,Wt,Hometown,High_School,PPG,RPG,APG
0,Nigel James Jr.,So,G,"6'0""",195,"Huntington, NY",Long island Lutheran School,16.4,3.4,4.9
1,Nash Walker,Fr,G,"6'6""",205,"Smithton, Tasmania",NBA Global Academy,,,
4,Nolan Minessale,Jr,G,"6'5""",195,"Brookfield, WI",Marquette HS,19.8,4.6,4.3
5,Colton Crowdis,Fr,G,"6'4""",180,"Toronto, Ontario",Bridgton Academy,,,
7,Ian Miletic,Fr,SF,"6'7""",205,"Arlington Heights, IL",Rolling Meadows HS,,,
8,Joshua Clark,So,F,"7'1""",245,"Virginia Beach, VA",Clements HS,1.3,1.9,0.0
9,Damarius Owens,Jr,SF,"6'7""",205,"Rochester, NY",Western Reserve Academy,4.8,2.6,0.7
10,Adrien Stevens,So,G,"6'4""",215,"Potomac, MD",Bullis School,7.9,2.6,1.6
11,Sananda Fru,Sr,F,"6'11""",250,"Berlin, Germany",Loewen Braunschweig,9.0,6.1,1.2
13,Royce Parham,Jr,F,"6'9""",230,"Pittsburgh, PA",Western Reserve Academy,12.5,4.9,0.9
18,Caedin Hamilton,Jr,F,"6'9""",245,"Santa Maria, CA",St. Joseph,2.9,2.9,0.6
21,Alex Egbuonu,Fr,SF,"6'7""",235,"Nashua, NH",Lawrence Academy,,,
33,Ethan Johnston,Fr,G,"6'7""",210,"Queens, NY",The Hill School,,,
35,Michael Phillips II,So,SF,"6'6""",205,"Rolesville, NC",GRACE Christian School,2.1,1.3,0.2
42,Braeden Brenn,So,F,"6'8""",215,"Appleton, WI",St. Mary Catholic HS,0.7,0.0,0.0
