Age,Sex,DeathProb,NumberOfLives,LifeExp
0,Female,0.005374,100000,80.97
1,Female,3.53e-4,99463,80.41
2,Female,2.31e-4,99427,79.44
3,Female,1.65e-4,99405,78.45
4,Female,1.29e-4,99388,77.47
5,Female,1.16e-4,99375,76.48
6,Female,1.07e-4,99364,75.48
7,Female,1.01e-4,99353,74.49
8,Female,9.6e-5,99343,73.5
9,Female,9.2e-5,99334,72.51
10,Female,9.1e-5,99325,71.51
11,Female,9.6e-5,99316,70.52
12,Female,1.11e-4,99306,69.53
13,Female,1.38e-4,99295,68.53
14,Female,1.74e-4,99281,67.54
15,Female,2.14e-4,99264,66.56
16,Female,2.54e-4,99243,65.57
17,Female,2.94e-4,99217,64.59
18,Female,3.3e-4,99188,63.61
19,Female,3.64e-4,99156,62.63
20,Female,3.99e-4,99120,61.65
21,Female,4.36e-4,99080,60.67
22,Female,4.69e-4,99037,59.7
23,Female,4.97e-4,98990,58.73
24,Female,5.22e-4,98941,57.76
25,Female,5.46e-4,98890,56.79
26,Female,5.72e-4,98836,55.82
27,Female,6.04e-4,98779,54.85
28,Female,6.44e-4,98719,53.88
29,Female,6.9e-4,98656,52.92
30,Female,7.4e-4,98588,51.95
31,Female,7.92e-4,98515,50.99
32,Female,8.41e-4,98437,50.03
33,Female,8.86e-4,98354,49.07
34,Female,9.29e-4,98267,48.11
35,Female,9.77e-4,98175,47.16
36,Female,0.001034,98080,46.2
37,Female,0.001098,97978,45.25
38,Female,0.001171,97870,44.3
39,Female,0.001253,97756,43.35
40,Female,0.001347,97633,42.41
41,Female,0.001452,97502,41.46
42,Female,0.001571,97360,40.52
43,Female,0.001706,97207,39.59
44,Female,0.001857,97041,38.65
45,Female,0.002022,96861,37.72
46,Female,0.002204,96665,36.8
47,Female,0.002411,96452,35.88
48,Female,0.002648,96220,34.96
49,Female,0.00291,95965,34.06
50,Female,0.003193,95686,33.15
51,Female,0.003491,95380,32.26
52,Female,0.003801,95047,31.37
53,Female,0.004119,94686,30.49
54,Female,0.004449,94296,29.61
55,Female,0.004813,93877,28.74
56,Female,0.005201,93425,27.88
57,Female,0.005583,92939,27.02
58,Female,0.005952,92420,26.17
59,Female,0.006325,91870,25.32
60,Female,0.006749,91289,24.48
61,Female,0.007238,90673,23.64
62,Female,0.007776,90017,22.81
63,Female,0.008368,89317,21.99
64,Female,0.009032,88569,21.17
65,Female,0.009794,87769,20.36
66,Female,0.010673,86910,19.55
67,Female,0.011676,85982,18.76
68,Female,0.012815,84978,17.98
69,Female,0.014105,83889,17.2
70,Female,0.015616,82706,16.44
71,Female,0.017318,81414,15.69
72,Female,0.019118,80004,14.96
73,Female,0.020996,78475,14.24
74,Female,0.023033,76827,13.54
75,Female,0.025413,75058,12.85
76,Female,0.028197,73150,12.17
77,Female,0.031313,71088,11.51
78,Female,0.034782,68862,10.86
79,Female,0.038689,66466,10.24
80,Female,0.043258,63895,9.63
81,Female,0.04849,61131,9.04
82,Female,0.054223,58167,8.48
83,Female,0.060446,55013,7.93
84,Female,0.067338,51688,7.41
85,Female,0.075133,48207,6.91
86,Female,0.084033,44585,6.43
87,Female,0.094177,40838,5.98
88,Female,0.105633,36992,5.54
89,Female,0.118407,33085,5.14
90,Female,0.132476,29167,4.76
91,Female,0.147801,25303,4.41
92,Female,0.164331,21563,4.09
93,Female,0.182012,18020,3.8
94,Female,0.200783,14740,3.54
95,Female,0.219758,11781,3.3
96,Female,0.23863,9192,3.09
97,Female,0.257065,6998,2.9
98,Female,0.274706,5199,2.73
99,Female,0.291189,3771,2.57
100,Female,0.30866,2673,2.42
101,Female,0.32718,1848,2.27
102,Female,0.34681,1243,2.14
103,Female,0.367619,812,2
104,Female,0.389676,514,1.88
105,Female,0.413057,313,1.76
106,Female,0.43784,184,1.64
107,Female,0.464111,103,1.53
108,Female,0.491957,55,1.43
109,Female,0.521475,28,1.33
110,Female,0.552763,13,1.24
111,Female,0.585929,6,1.15
112,Female,0.621085,2,1.06
113,Female,0.65835,1,0.98
114,Female,0.697851,0,0.9
115,Female,0.739722,0,0.83
116,Female,0.777142,0,0.77
117,Female,0.815999,0,0.71
118,Female,0.856799,0,0.66
119,Female,0.899639,0,0.61
