Age,Sex,DeathProb,NumberOfLives,LifeExp
0,Male,0.006383,100000,76.15
1,Male,4.53e-4,99362,75.63
2,Male,2.82e-4,99317,74.67
3,Male,2.3e-4,99289,73.69
4,Male,1.69e-4,99266,72.71
5,Male,1.55e-4,99249,71.72
6,Male,1.45e-4,99234,70.73
7,Male,1.35e-4,99219,69.74
8,Male,1.2e-4,99206,68.75
9,Male,1.05e-4,99194,67.76
10,Male,9.4e-5,99184,66.76
11,Male,9.9e-5,99174,65.77
12,Male,1.34e-4,99164,64.78
13,Male,2.07e-4,99151,63.79
14,Male,3.09e-4,99131,62.8
15,Male,4.19e-4,99100,61.82
16,Male,5.3e-4,99059,60.84
17,Male,6.55e-4,99006,59.88
18,Male,7.91e-4,98941,58.91
19,Male,9.34e-4,98863,57.96
20,Male,0.001085,98771,57.01
21,Male,0.001228,98663,56.08
22,Male,0.001339,98542,55.14
23,Male,0.001403,98410,54.22
24,Male,0.001433,98272,53.29
25,Male,0.001451,98131,52.37
26,Male,0.001475,97989,51.44
27,Male,0.001502,97844,50.52
28,Male,0.001538,97698,49.59
29,Male,0.001581,97547,48.67
30,Male,0.001626,97393,47.75
31,Male,0.001669,97235,46.82
32,Male,0.001712,97072,45.9
33,Male,0.001755,96906,44.98
34,Male,0.0018,96736,44.06
35,Male,0.001855,96562,43.14
36,Male,0.00192,96383,42.22
37,Male,0.001988,96198,41.3
38,Male,0.00206,96006,40.38
39,Male,0.002141,95809,39.46
40,Male,0.00224,95603,38.54
41,Male,0.002362,95389,37.63
42,Male,0.002509,95164,36.72
43,Male,0.002684,94925,35.81
44,Male,0.00289,94671,34.9
45,Male,0.003121,94397,34
46,Male,0.003386,94102,33.11
47,Male,0.003707,93784,32.22
48,Male,0.004091,93436,31.34
49,Male,0.004531,93054,30.46
50,Male,0.005013,92632,29.6
51,Male,0.005524,92168,28.75
52,Male,0.006059,91659,27.9
53,Male,0.006611,91103,27.07
54,Male,0.007187,90501,26.25
55,Male,0.0078,89851,25.43
56,Male,0.008456,89150,24.63
57,Male,0.009144,88396,23.83
58,Male,0.009865,87588,23.05
59,Male,0.010622,86724,22.27
60,Male,0.011458,85802,21.51
61,Male,0.01235,84819,20.75
62,Male,0.013235,83772,20
63,Male,0.014097,82663,19.27
64,Male,0.014979,81498,18.53
65,Male,0.015967,80277,17.81
66,Male,0.017109,78995,17.09
67,Male,0.018392,77644,16.38
68,Male,0.019836,76216,15.68
69,Male,0.021465,74704,14.98
70,Male,0.023351,73100,14.3
71,Male,0.025482,71393,13.63
72,Male,0.027794,69574,12.97
73,Male,0.030282,67640,12.33
74,Male,0.033022,65592,11.7
75,Male,0.036201,63426,11.08
76,Male,0.039858,61130,10.48
77,Male,0.043891,58693,9.89
78,Male,0.048311,56117,9.33
79,Male,0.053228,53406,8.77
80,Male,0.058897,50564,8.24
81,Male,0.065365,47585,7.72
82,Male,0.072491,44475,7.23
83,Male,0.080288,41251,6.75
84,Male,0.088916,37939,6.3
85,Male,0.098576,34566,5.87
86,Male,0.109438,31158,5.45
87,Male,0.121619,27748,5.06
88,Male,0.135176,24374,4.69
89,Male,0.150109,21079,4.35
90,Male,0.166397,17915,4.03
91,Male,0.183997,14934,3.73
92,Male,0.202855,12186,3.46
93,Male,0.222911,9714,3.21
94,Male,0.244094,7549,2.99
95,Male,0.265091,5706,2.8
96,Male,0.285508,4193,2.63
97,Male,0.304926,2996,2.48
98,Male,0.322919,2083,2.34
99,Male,0.339065,1410,2.22
100,Male,0.356018,932,2.11
101,Male,0.373819,600,2
102,Male,0.39251,376,1.89
103,Male,0.412135,228,1.79
104,Male,0.432742,134,1.69
105,Male,0.454379,76,1.59
106,Male,0.477098,42,1.5
107,Male,0.500953,22,1.41
108,Male,0.526,11,1.33
109,Male,0.5523,5,1.25
110,Male,0.579915,2,1.17
111,Male,0.608911,1,1.1
112,Male,0.639357,0,1.03
113,Male,0.671325,0,0.96
114,Male,0.704891,0,0.89
115,Male,0.740135,0,0.83
116,Male,0.777142,0,0.77
117,Male,0.815999,0,0.71
118,Male,0.856799,0,0.66
119,Male,0.899639,0,0.61
