word,freq
will,17
freedom,13
ring,12
dream,11
day,11
let,11
every,9
one,8
able,8
together,7
nation,4
mountain,4
shall,4
faith,4
free,4
today,3
men,3
state,3
children,3
little,3
black,3
white,3
made,3
god,3
new,3
sing,3
land,3
last,3
even,2
live,2
meaning,2
true,2
brotherhood,2
former,2
georgia,2
sons,2
heat,2
mississippi,2
sweltering,2
alabama,2
boys,2
girls,2
hands,2
join,2
words,2
hill,2
places,2
hope,2
stone,2
thee,2
mountainside,2
american,1
deeply,1
difficulties,1
face,1
rooted,1
still,1
though,1
tomorrow,1
creed,1
rise,1
created,1
equal,1
hold,1
selfevident,1
truths,1
hills,1
owners,1
red,1
sit,1
slave,1
slaves,1
table,1
injustice,1
justice,1
oasis,1
oppression,1
transformed,1
character,1
color,1
content,1
four,1
judged,1
skin,1
brothers,1
dripping,1
governor,1
interposition,1
lips,1
nullification,1
racists,1
right,1
sisters,1
vicious,1
crooked,1
exalted,1
flesh,1
glory,1
lord,1
low,1
plain,1
revealed,1
rough,1
see,1
straight,1
valley,1
back,1
south,1
beautiful,1
despair,1
discords,1
hew,1
jail,1
jangling,1
knowing,1
pray,1
stand,1
struggle,1
symphony,1
transform,1
work,1
country,1
liberty,1
sweet,1
tis,1
died,1
fathers,1
pilgrim,1
pride,1
america,1
become,1
great,1
must,1
hampshire,1
hilltops,1
prodigious,1
mighty,1
mountains,1
york,1
alleghenies,1
heightening,1
pennsylvania,1
colorado,1
rockies,1
snowcapped,1
california,1
curvaceous,1
slopes,1
lookout,1
tennessee,1
molehill,1
allow,1
catholics,1
city,1
gentiles,1
hamlet,1
happens,1
jews,1
negro,1
old,1
protestants,1
speed,1
spiritual,1
village,1
almighty,1
thank,1
